pair,method,interpretation
"ML-KEM-512 vs Dilithium3 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium5 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-128s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-192s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-256s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ML-KEM-1024 (Unconstrained, encapsulate_median_time)",Cliff's Delta,medium
"ML-KEM-768 vs FrodoKEM-640-AES (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDH-X25519 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDSA-P256 (Unconstrained, encapsulate_median_time)",Cliff's Delta,small
"ML-KEM-768 vs RSA-2048 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium2 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium3 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium5 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-128s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-192s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-256s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs FrodoKEM-640-AES (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDH-X25519 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDSA-P256 (Unconstrained, encapsulate_median_time)",Cliff's Delta,small
"ML-KEM-1024 vs RSA-2048 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium2 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium3 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium5 (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-128s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-192s-simple (Unconstrained, encapsulate_median_time)",Cliff's Delta,large
