pair,method,interpretation
"Dilithium5 vs SPHINCS+SHA2-128s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-192s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-192s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-192s-simple vs SPHINCS+SHA2-256s-simple (Moderate, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-512 (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-768 (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-1024 (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs FrodoKEM-640-AES (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDH-X25519 (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDSA-P256 (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs RSA-2048 (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium2 (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium3 (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium5 (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-128s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-192s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-768 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-1024 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs FrodoKEM-640-AES (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDH-X25519 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDSA-P256 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs RSA-2048 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium2 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium3 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium5 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-128s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-192s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ML-KEM-1024 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs FrodoKEM-640-AES (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDH-X25519 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDSA-P256 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs RSA-2048 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium2 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium3 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium5 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-128s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-192s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs FrodoKEM-640-AES (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDH-X25519 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDSA-P256 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs RSA-2048 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium2 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium3 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium5 (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-128s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-192s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDH-X25519 (Extreme, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDSA-P256 (Extreme, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs RSA-2048 (Extreme, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium2 (Extreme, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium3 (Extreme, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium5 (Extreme, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-128s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-192s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs ECDSA-P256 (Extreme, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs RSA-2048 (Extreme, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium2 (Extreme, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium3 (Extreme, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium5 (Extreme, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-128s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-192s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs RSA-2048 (Extreme, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium2 (Extreme, generate_median_time)",Cliff's Delta,negligible
"ECDSA-P256 vs Dilithium3 (Extreme, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium5 (Extreme, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-128s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-192s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium2 (Extreme, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium3 (Extreme, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium5 (Extreme, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-128s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-192s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium3 (Extreme, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium5 (Extreme, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-128s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-192s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"Dilithium3 vs Dilithium5 (Extreme, generate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-128s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-192s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-128s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-192s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-192s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-192s-simple vs SPHINCS+SHA2-256s-simple (Extreme, generate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-512 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-768 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-1024 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs FrodoKEM-640-AES (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDH-X25519 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDSA-P256 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs RSA-2048 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium2 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium3 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium5 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-128s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-192s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-768 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-1024 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs FrodoKEM-640-AES (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDH-X25519 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDSA-P256 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs RSA-2048 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium2 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium3 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium5 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-128s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-192s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ML-KEM-1024 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs FrodoKEM-640-AES (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDH-X25519 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDSA-P256 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs RSA-2048 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium2 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium3 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium5 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-128s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-192s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs FrodoKEM-640-AES (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDH-X25519 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDSA-P256 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs RSA-2048 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium2 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium3 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium5 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-128s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-192s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDH-X25519 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDSA-P256 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs RSA-2048 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium2 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium3 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium5 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-128s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-192s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs ECDSA-P256 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs RSA-2048 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium2 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium3 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium5 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-128s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-192s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs RSA-2048 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium2 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium3 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium5 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-128s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-192s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium2 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium3 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium5 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-128s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-192s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium3 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium5 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-128s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-192s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs Dilithium5 (Extreme, encapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-128s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-192s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-128s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-192s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-192s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-128s-simple vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"SPHINCS+SHA2-192s-simple vs SPHINCS+SHA2-256s-simple (Extreme, encapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-512 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-768 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ML-KEM-1024 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs FrodoKEM-640-AES (Extreme, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDH-X25519 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs ECDSA-P256 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs RSA-2048 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium2 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium3 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs Dilithium5 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-128s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-192s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"BIKE-L1 vs SPHINCS+SHA2-256s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-768 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ML-KEM-1024 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs FrodoKEM-640-AES (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDH-X25519 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs ECDSA-P256 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs RSA-2048 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium2 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium3 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs Dilithium5 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-128s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-192s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-512 vs SPHINCS+SHA2-256s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ML-KEM-1024 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs FrodoKEM-640-AES (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDH-X25519 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs ECDSA-P256 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs RSA-2048 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium2 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium3 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs Dilithium5 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-128s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-192s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-768 vs SPHINCS+SHA2-256s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs FrodoKEM-640-AES (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDH-X25519 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs ECDSA-P256 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs RSA-2048 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium2 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium3 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs Dilithium5 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-128s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-192s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ML-KEM-1024 vs SPHINCS+SHA2-256s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDH-X25519 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs ECDSA-P256 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs RSA-2048 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium2 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium3 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs Dilithium5 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-128s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-192s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"FrodoKEM-640-AES vs SPHINCS+SHA2-256s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs ECDSA-P256 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs RSA-2048 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium2 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium3 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs Dilithium5 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-128s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-192s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDH-X25519 vs SPHINCS+SHA2-256s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs RSA-2048 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium2 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium3 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs Dilithium5 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-128s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-192s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"ECDSA-P256 vs SPHINCS+SHA2-256s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium2 (Extreme, decapsulate_median_time)",Cliff's Delta,small
"RSA-2048 vs Dilithium3 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs Dilithium5 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-128s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-192s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"RSA-2048 vs SPHINCS+SHA2-256s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium3 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs Dilithium5 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-128s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-192s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"Dilithium2 vs SPHINCS+SHA2-256s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs Dilithium5 (Extreme, decapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-128s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-192s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"Dilithium3 vs SPHINCS+SHA2-256s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-128s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
"Dilithium5 vs SPHINCS+SHA2-192s-simple (Extreme, decapsulate_median_time)",Cliff's Delta,large
